,Unnamed: 0,frame_id,img_timestamp,identified_person,identification_confidence,face_id,age_low,age_high,smile,eyeglasses,sunglasses,gender,beard,mustache,eyesopen,mouthopen,confused,calm,happy,disgusted,angry,fear,sad,surprised,emotions,cum_emotions,min_timestamp,min_upgrade,main_emotion,mainE_confidence
0,3,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound3/00003.png,17,P1,99.997802734375,1,22,34,True,True,False,Female,False,False,True,True,0.0689896643161774,0.0213852021843195,99.385009765625,0.26442402601242104,0.10805587470531501,0.0462743118405342,0.0362035594880581,0.0696590468287468,99.2406254466623,99.2406254466623,0.2833333333333333,0.17,happy,99.385009765625
1,7,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound3/00004.png,37,P1,99.997802734375,2,18,30,False,True,False,Female,False,False,True,False,5.43678951263428,79.4869842529297,2.2144198417663596,2.5970904827117898,0.9695000052452091,0.9811336398124691,1.91367959976196,6.400394439697269,81.96996450424196,181.21058995090425,0.6166666666666667,0.37,calm,79.4869842529297
2,10,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound3/00005.png,57,P1,99.99829864501949,2,22,34,False,True,False,Female,False,False,True,False,13.2217149734497,70.649528503418,3.5541844367980997,1.7392871379852302,1.15605878829956,0.825131058692932,4.18356037139893,4.67053031921387,68.4277292490006,249.63831919990486,0.95,0.57,calm,70.649528503418
3,14,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound3/00006.png,77,P1,99.997802734375,3,22,34,False,True,False,Female,False,False,True,False,5.99552440643311,6.8096218109130895,0.26525405049323997,2.0369098186492898,0.35787159204483004,58.271511077880895,23.7857131958008,2.47759890556335,-32.607885748147986,217.03043345175686,1.2833333333333334,1.17,fear,58.271511077880895
4,17,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound3/00007.png,97,P1,99.99829864501949,3,18,30,False,True,False,Male,False,False,True,False,9.27277088165283,81.051399230957,1.2323811054229699,1.5845633745193501,0.929155945777893,0.34922194480896,3.02702140808105,2.5534849166870095,77.5868864059448,294.61731985770166,1.6166666666666667,1.37,calm,81.051399230957
5,20,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound3/00008.png,117,P1,99.997802734375,3,13,25,False,True,False,Male,False,False,True,False,6.43235349655151,52.7531929016113,17.656208038330103,12.385554313659698,1.06497347354889,1.01034963130951,1.89857614040375,6.7987995147705105,60.34349262714383,354.9608124848455,1.95,1.5699999999999998,calm,52.7531929016113
6,23,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound3/00009.png,137,P1,99.997802734375,3,22,34,False,True,False,Female,False,False,True,False,7.50937700271606,78.3377227783203,2.6745765209198,2.76888751983643,1.12175023555756,0.374961405992508,4.93633699417114,2.2763848304748504,78.69354543089865,433.6543579157442,2.283333333333333,2.17,calm,78.3377227783203
7,26,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound3/00010.png,157,P1,99.997802734375,3,15,27,False,True,False,Female,False,False,True,False,21.480283737182603,32.536163330078104,4.36352443695068,8.15980529785156,1.96167373657227,0.6025527119636539,28.2036991119385,2.6922986507415803,39.514717519283316,473.1690754350275,2.6166666666666667,2.37,calm,32.536163330078104
8,29,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound3/00011.png,177,P1,99.997802734375,3,18,30,False,True,False,Female,False,False,True,False,23.3697872161865,53.555973052978494,2.22046732902527,3.3896288871765097,1.60061180591583,0.359108507633209,13.599411964416499,1.9050097465515101,45.76294928789139,518.9320247229189,2.95,2.57,calm,53.555973052978494
9,31,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound3/00012.png,197,P1,99.99829864501949,2,22,34,False,True,False,Female,False,False,True,False,2.9320304393768297,19.574821472168,0.620372176170349,3.12449312210083,2.54085612297058,0.546908676624298,70.2745819091797,0.38593065738678,86.79313009977345,605.7251548226923,3.283333333333333,3.17,sad,70.2745819091797
