,Unnamed: 0,frame_id,img_timestamp,identified_person,identification_confidence,face_id,age_low,age_high,smile,eyeglasses,sunglasses,gender,beard,mustache,eyesopen,mouthopen,confused,calm,happy,disgusted,angry,fear,sad,surprised,emotions,min_timestamp,min_upgrade,main_emotion,mainE_confidence
0,2,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_2/00001.png,0,P1,99.99829864501949,2,15,27,False,True,False,Female,False,False,True,False,17.862779617309602,62.943752288818395,1.2502876520156898,2.2773585319519,1.80696141719818,0.423950284719467,12.067286491394,1.3676247596740703,58.87182417511937,0.0,0.0,calm,62.943752288818395
1,5,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_2/00002.png,0,P1,99.99829864501949,2,17,29,False,True,False,Female,False,False,True,False,16.6274299621582,66.88223266601561,1.06662034988403,2.3784170150756805,2.0912292003631596,0.408818513154984,9.280524253845211,1.2647304534912098,61.17067143321036,0.0,0.0,calm,66.88223266601561
2,7,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_2/00003.png,17,P1,99.997802734375,1,13,25,False,True,False,Female,False,False,True,False,12.019327163696301,46.7108383178711,1.41134536266327,3.17395973205566,3.58748030662537,0.720867574214935,31.4510936737061,0.92508739233017,68.17169058322912,0.2833333333333333,0.17,calm,46.7108383178711
3,10,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_2/00004.png,37,P1,99.99829864501949,1,21,33,False,True,False,Female,False,False,True,False,27.023796081543,33.055587768554695,1.70796060562134,3.1843562126159703,0.908549427986145,0.562320172786713,32.767467498779304,0.789967060089111,38.45905989408491,0.6166666666666667,0.37,calm,33.055587768554695
4,13,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_2/00005.png,57,P1,99.99829864501949,1,21,33,False,True,False,Male,False,False,True,False,28.2754783630371,64.4629974365234,0.6154457330703741,1.02631688117981,0.30635663866996804,0.140257135033607,4.64893054962158,0.524219870567322,41.11589784920213,0.95,0.57,calm,64.4629974365234
5,17,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_2/00006.png,77,P1,99.9962005615234,2,12,22,False,True,False,Male,False,False,True,False,7.7046623229980495,29.340509414672898,2.5296025276184104,8.473301887512209,2.53779673576355,1.3251274824142498,45.98075866699221,2.10824227333069,64.99381792545324,1.2833333333333334,1.17,sad,45.98075866699221
6,20,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_2/00007.png,97,P1,99.997802734375,2,19,31,False,True,False,Female,False,False,True,False,4.24362230300903,86.9337997436523,0.9248402714729309,1.8808081150054898,0.635498225688934,0.31914794445037803,3.86726307868958,1.1950290203094498,87.11285197734829,1.6166666666666667,1.37,calm,86.9337997436523
7,23,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_2/00008.png,117,P1,99.997802734375,2,21,33,False,True,False,Female,False,False,True,False,5.23440170288086,69.4252243041992,9.65241718292236,4.87798595428467,1.59697198867798,0.18085968494415303,1.1007294654846203,7.93141412734985,79.41350972652434,1.95,1.5699999999999998,calm,69.4252243041992
8,26,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_2/00009.png,137,P1,99.997802734375,2,12,22,False,True,False,Male,False,False,True,False,14.9086627960205,69.57275390625,1.61740970611572,1.5337109565734899,0.560225307941437,0.38428902626037603,9.552003860473631,1.8709448575973502,66.34667485952377,2.283333333333333,2.17,calm,69.57275390625
9,30,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_2/00010.png,157,P1,99.997802734375,3,20,32,False,True,False,Male,False,False,True,False,18.6644306182861,46.2299270629883,3.1711735725402797,14.304226875305199,2.83293771743774,1.15588366985321,11.067626953125,2.5737919807434104,31.750916123390226,2.6166666666666667,2.37,calm,46.2299270629883
10,33,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_2/00011.png,177,P1,99.99829864501949,3,21,33,False,True,False,Male,False,False,True,False,4.89396190643311,73.4574737548828,8.73343181610107,1.37338578701019,0.5843298435211179,0.338899165391922,1.05688214302063,9.561625480651859,86.78749617934226,2.95,2.57,calm,73.4574737548828
11,35,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_2/00012.png,197,P1,99.997802734375,2,22,34,True,True,False,Female,False,False,True,True,0.138421565294266,0.0448627658188343,97.72500610351558,0.49979826807975797,0.42441138625145003,0.141194969415665,0.043866191059350995,0.9824393987655641,98.4411710426211,3.283333333333333,3.17,happy,97.72500610351558
12,39,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_2/00013.png,217,P1,99.997802734375,3,21,33,False,True,False,Female,False,False,True,True,10.614163398742699,34.8274345397949,6.2250871658325195,8.2490234375,0.9961550235748291,1.40813648700714,2.70722150802612,34.9727783203125,59.457353234291034,3.6166666666666667,3.37,surprised,34.9727783203125
13,42,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_2/00014.png,237,P1,99.99829864501949,3,22,34,False,True,False,Female,False,False,True,False,21.8498268127441,37.4113159179688,11.184861183166499,8.77445507049561,1.9851455688476598,1.94164574146271,4.348759174346919,12.5039968490601,34.86815106868755,3.95,3.57,calm,37.4113159179688
14,45,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_2/00015.png,257,P1,99.997802734375,3,21,33,False,True,False,Female,False,False,True,True,2.3977863788604705,2.4956715106964102,1.5089424848556499,0.59463495016098,0.14152279496192902,0.5448819398879999,0.15271568298339802,92.1638336181641,92.92538282275204,4.283333333333333,4.17,surprised,92.1638336181641
15,48,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_2/00016.png,277,P1,99.99829864501949,3,22,34,True,True,False,Female,False,False,True,False,4.53654146194458,27.149930953979503,57.331146240234396,3.2990436553955096,0.48063537478447,0.5820276737213129,1.08449697494507,5.53618574142456,83.16478249430659,4.616666666666666,4.37,happy,57.331146240234396
16,50,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_2/00017.png,297,P1,99.997802734375,2,22,34,True,True,False,Female,False,False,True,True,5.94076013565063,11.7291707992554,49.1327438354492,9.25146961212158,1.25865960121155,0.6692236661911011,0.878752589225769,21.1392192840576,68.2770926952362,4.95,4.57,happy,49.1327438354492
