,Unnamed: 0,frame_id,img_timestamp,identified_person,identification_confidence,face_id,age_low,age_high,smile,eyeglasses,sunglasses,gender,beard,mustache,eyesopen,mouthopen,confused,calm,happy,disgusted,angry,fear,sad,surprised,emotions,min_timestamp,min_upgrade,main_emotion,mainE_confidence
0,6,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_1/00003.png,17,P3,99.9973983764648,2,23,35,True,False,False,Male,True,False,True,False,1.17018961906433,1.68423986434937,95.18643188476558,0.22810387611389202,0.170054584741592,0.375099360942841,0.148180961608887,1.03769195079803,96.4532063901424,0.2833333333333333,0.17,happy,95.18643188476558
1,8,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_1/00004.png,37,P3,99.9954986572266,1,25,39,True,False,False,Male,True,False,True,True,1.09249639511108,0.70334380865097,94.0242385864258,0.5154284834861761,0.722802639007568,0.755725979804993,0.0768214613199234,2.10914778709412,95.27270342409612,0.6166666666666667,0.37,happy,94.0242385864258
2,12,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_1/00005.png,57,P3,99.9973983764648,2,22,34,True,False,False,Female,False,False,True,True,0.33048373460769703,0.624423265457153,96.0259475708008,0.23497319221496601,0.442988693714142,0.857155561447144,0.5280797481536871,0.9559544920921329,97.1547812819481,0.95,0.57,happy,96.0259475708008
3,15,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_1/00006.png,77,P3,99.9973983764648,2,23,35,True,False,False,Male,True,False,True,False,3.5685620307922403,8.672472953796388,85.740837097168,0.7086647152900699,0.30296802520752003,0.17739883065223702,0.322366654872894,0.506727755069733,91.09074690937999,1.2833333333333334,1.17,happy,85.740837097168
4,17,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_1/00007.png,97,P3,99.9946975708008,1,22,34,False,False,False,Male,True,False,True,False,4.77760124206543,85.9587783813477,0.8618232011795041,0.6006139516830439,2.14516282081604,0.5293562412261961,4.480751037597661,0.645910203456879,88.18485420942311,1.6166666666666667,1.37,calm,85.9587783813477
5,22,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_1/00008.png,117,P3,99.9973983764648,3,22,34,True,False,False,Male,True,False,True,True,0.0805073902010918,0.0335233509540558,99.4054489135742,0.0476447679102421,0.141837671399117,0.0875444710254669,0.0249917656183243,0.178503096103668,99.56860816851257,1.95,1.5699999999999998,happy,99.4054489135742
6,23,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_1/00009.png,137,P3,99.99639892578121,1,23,35,True,False,False,Male,True,False,True,True,0.518191576004028,0.113690376281738,98.65960693359379,0.10666510462760902,0.19932562112808203,0.06829634308815001,0.0464892573654652,0.28773611783981295,98.6136952824891,2.283333333333333,2.17,happy,98.65960693359379
7,27,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_1/00010.png,157,P3,99.9973983764648,2,23,35,True,False,False,Male,True,False,True,True,0.212344691157341,0.075478620827198,99.0160980224609,0.10949472337961201,0.12330756336450599,0.118427596986294,0.0326712429523468,0.31218051910400396,99.1194689571857,2.6166666666666667,2.37,happy,99.0160980224609
8,30,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_1/00011.png,177,P3,99.9973983764648,2,19,31,True,False,False,Male,True,False,True,True,0.9213767051696781,0.320649743080139,97.1859130859375,0.308865278959274,0.29182419180870095,0.141463667154312,0.080442376434803,0.7494658827781681,97.25658962875605,2.95,2.57,happy,97.1859130859375
9,32,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_1/00012.png,197,P3,99.9973983764648,1,26,40,False,False,False,Male,True,False,True,False,5.33356285095215,23.059263229370103,67.7596435546875,0.741700708866119,0.831244349479675,0.679060041904449,0.5923696756362921,1.00315833091736,86.49135553836821,3.283333333333333,3.17,happy,67.7596435546875
10,36,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_1/00013.png,217,P3,99.9946975708008,2,22,34,False,False,False,Male,True,False,True,False,0.45597091317176797,97.87908935546879,0.401451587677002,0.0943010970950127,0.3522958159446721,0.144207343459129,0.302462190389633,0.37022781372070296,98.61104740947489,3.6166666666666667,3.37,calm,97.87908935546879
11,39,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_1/00014.png,237,P3,99.9973983764648,2,22,34,False,False,False,Male,True,False,True,False,4.55800724029541,89.4148101806641,1.72561538219452,0.43592095375060996,1.06138670444489,0.9078656435012821,0.701424419879913,1.1949714422226,88.19641429185872,3.95,3.57,calm,89.4148101806641
