,Unnamed: 0,frame_id,img_timestamp,identified_person,identification_confidence,face_id,age_low,age_high,smile,eyeglasses,sunglasses,gender,beard,mustache,eyesopen,mouthopen,confused,calm,happy,disgusted,angry,fear,sad,surprised,emotions,cum_emotions,min_timestamp,min_upgrade,main_emotion,mainE_confidence
0,1,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound2/00001.png,0,P2,99.98889923095699,1,11,21,True,False,False,Female,False,False,True,True,0.0875496044754982,0.44233039021492,98.8296890258789,0.13419440388679502,0.0717911496758461,0.154222562909126,0.0561495311558247,0.22407117486000103,99.24806470051408,99.24806470051408,0.0,0.0,happy,98.8296890258789
1,3,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound2/00002.png,0,P2,99.98889923095699,1,11,21,True,False,False,Female,False,False,True,False,0.0792716443538666,0.613353252410889,98.59088134765621,0.135024741292,0.0778685361146927,0.191552475094795,0.0565515644848347,0.255504041910172,99.18830988183613,198.4363745823502,0.0,0.0,happy,98.59088134765621
2,7,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound2/00003.png,17,P2,99.99720001220699,3,13,25,True,False,False,Female,False,False,True,True,0.0671878755092621,0.0479932278394699,98.29125213623051,0.101405926048756,0.0574522018432617,0.0757648050785065,0.0603518523275852,1.29858458042145,99.51127539202575,297.94764997437596,0.2833333333333333,0.17,happy,98.29125213623051
3,9,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound2/00004.png,37,P2,99.98889923095699,2,13,25,True,False,False,Female,False,False,True,True,1.6604897975921598,4.75186967849731,78.12432861328121,1.26553809642792,1.10001313686371,1.00880610942841,1.3033903837204,10.7855644226074,92.13033223152155,390.0779822058975,0.6166666666666667,0.37,happy,78.12432861328121
4,12,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound2/00005.png,57,P2,99.98889923095699,2,14,26,False,False,False,Female,False,False,True,False,0.20505003631115,98.5762481689453,0.64661568403244,0.0499741360545158,0.0639379546046257,0.00992208905518055,0.41548794507980297,0.0327673703432083,99.47011086158453,489.54809306748206,0.95,0.57,calm,98.5762481689453
5,14,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound2/00006.png,77,P2,99.9869003295898,1,12,22,True,False,False,Female,False,False,True,True,0.13256549835205098,0.389668434858322,98.6356353759766,0.0905051156878471,0.0731333866715431,0.23382839560508703,0.108070321381092,0.336592465639114,99.08620097488169,588.6342940423638,1.2833333333333334,1.17,happy,98.6356353759766
6,18,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound2/00007.png,97,P2,99.99720001220699,2,12,22,True,False,False,Female,False,False,False,False,0.546069502830505,5.77634334564209,86.9418487548828,1.350945353508,0.424121379852295,2.0272464752197297,2.27008771896362,0.6633402705192571,92.15148013830184,680.7857741806656,1.6166666666666667,1.37,happy,86.9418487548828
7,21,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound2/00008.png,117,P2,99.98889923095699,2,13,25,True,False,False,Female,False,False,True,False,0.775128364562988,4.39697313308716,92.44898223876949,0.6230684518814089,0.21675510704517398,0.18564844131469702,0.591746211051941,0.761702418327332,96.832313850522,777.6180880311877,1.95,1.5699999999999998,happy,92.44898223876949
8,23,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound2/00009.png,137,P2,99.98889923095699,1,13,23,False,False,False,Female,False,False,True,False,1.8136043548584,87.0138702392578,6.8203849792480495,0.552256524562836,0.5496134757995611,0.260981351137161,2.6404709815979,0.348811268806458,94.74630871415137,872.364396745339,2.283333333333333,2.17,calm,87.0138702392578
9,27,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound2/00010.png,157,P2,99.99720001220699,2,21,33,True,False,False,Female,False,False,True,True,0.05351394042372701,0.0144432326778769,99.5673446655273,0.0682556554675102,0.0543857514858246,0.0892537161707878,0.0616753362119198,0.0911154747009277,99.57794114854183,971.9423378938809,2.6166666666666667,2.37,happy,99.5673446655273
