,Unnamed: 0,frame_id,img_timestamp,identified_person,identification_confidence,face_id,age_low,age_high,smile,eyeglasses,sunglasses,gender,beard,mustache,eyesopen,mouthopen,confused,calm,happy,disgusted,angry,fear,sad,surprised,emotions,min_timestamp,min_upgrade,main_emotion,mainE_confidence
0,3,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_2/00001.png,0,P2,99.9869003295898,3,12,22,False,False,False,Female,False,False,True,True,82.58349609375,7.170245170593259,0.089622974395752,0.44848042726516707,0.240282624959946,0.15694274008274098,0.7779260873794559,8.53299617767334,-66.37784622609615,0.0,0.0,surprised,8.53299617767334
1,6,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_2/00002.png,0,P2,99.9869003295898,3,12,22,False,False,False,Female,False,False,True,True,80.0733184814453,8.88026714324951,0.11134877800941499,0.8954231739044191,0.265443921089172,0.24980324506759602,1.7764697074890101,7.74792289733887,-62.437092453241334,0.0,0.0,calm,8.88026714324951
2,9,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_2/00003.png,17,P2,99.9954986572266,3,13,25,False,False,False,Female,False,False,True,False,6.40848350524902,90.9589004516602,0.19333179295063,0.149580061435699,0.32894450426101696,0.0584819540381432,1.78324675559998,0.119033887982368,86.76691187173132,0.2833333333333333,0.17,calm,90.9589004516602
3,12,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_2/00004.png,37,P2,99.9954986572266,3,15,27,False,False,False,Female,False,False,True,False,4.9107370376586905,89.1230239868164,0.263493359088898,0.37712198495864896,0.517797768115997,0.15855684876442003,4.479180812835691,0.17009837925434101,89.10717843472958,0.6166666666666667,0.37,calm,89.1230239868164
4,14,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_2/00005.png,57,P2,99.98889923095699,2,20,32,False,False,False,Female,False,False,True,False,5.07324981689453,87.4752578735352,0.7586208581924442,0.608167886734009,0.89093428850174,0.19648033380508398,4.77046203613281,0.22682018578052499,88.2441972047091,0.95,0.57,calm,87.4752578735352
5,18,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_2/00006.png,77,P2,99.9869003295898,3,18,30,False,False,False,Female,False,False,True,False,2.26232004165649,89.15237426757808,0.29013454914093,0.39154812693595903,0.778320491313934,0.235406816005707,6.6917409896850595,0.19814933836460102,94.22144465148445,1.2833333333333334,1.17,calm,89.15237426757808
6,21,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_2/00007.png,97,P2,99.98889923095699,3,14,26,False,False,False,Female,False,False,True,True,15.996710777282699,53.4589653015137,1.12121152877808,19.6366024017334,0.774258315563202,0.29150092601776095,1.61234378814697,7.108403205871579,28.150368034839673,1.6166666666666667,1.37,calm,53.4589653015137
7,24,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_2/00008.png,117,P2,99.98889923095699,3,17,29,False,False,False,Female,False,False,True,False,1.5605279207229599,93.2395248413086,1.52472305297852,1.03499782085419,0.18041963875293698,0.0552899390459061,0.603082180023193,1.8014407157897903,94.69837474822998,1.95,1.5699999999999998,calm,93.2395248413086
8,27,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_2/00009.png,137,P2,99.98889923095699,3,12,22,False,False,False,Female,False,False,True,False,2.9062032699585,90.38238525390621,0.30132228136062605,0.290993720293045,0.562519907951355,0.11235874891281099,5.3195219039917,0.12469312548637401,93.38088673353191,2.283333333333333,2.17,calm,90.38238525390621
9,29,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_2/00010.png,157,P2,99.9869003295898,2,17,29,False,False,False,Female,False,False,True,False,4.71757650375366,86.70205688476558,0.26609668135643,0.36300015449523904,0.6265124678611761,0.207526162266731,6.9844446182251,0.132785260677338,89.42379309236999,2.6166666666666667,2.37,calm,86.70205688476558
