,Unnamed: 0,frame_id,img_timestamp,identified_person,identification_confidence,face_id,age_low,age_high,smile,eyeglasses,sunglasses,gender,beard,mustache,eyesopen,mouthopen,confused,calm,happy,disgusted,angry,fear,sad,surprised,emotions,min_timestamp,min_upgrade,main_emotion,mainE_confidence
0,3,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_3/00001.png,0,P2,99.9954986572266,3,15,27,False,False,False,Female,False,False,True,False,23.658872604370103,66.5171737670898,1.21477651596069,1.5172619819641102,0.5588101744651789,0.20378483831882502,6.1692619323730495,0.160062491893768,49.24016545712945,0.0,0.0,calm,66.5171737670898
1,6,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_3/00002.png,0,P2,99.9954986572266,3,15,27,False,False,False,Female,False,False,True,False,23.658872604370103,66.5171737670898,1.21477651596069,1.5172619819641102,0.5588101744651789,0.20378483831882502,6.1692619323730495,0.160062491893768,49.24016545712945,0.0,0.0,calm,66.5171737670898
2,8,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_3/00003.png,17,P2,99.98889923095699,2,13,25,True,False,False,Female,False,False,True,False,0.5453481674194339,9.54874420166016,87.7909088134766,0.910216093063354,0.170894354581833,0.16424119472503698,0.665508031845093,0.20412960648536702,96.76037955284123,0.2833333333333333,0.17,happy,87.7909088134766
3,12,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_3/00004.png,37,P2,99.98889923095699,3,12,22,False,False,False,Female,False,False,True,False,4.91942405700684,70.660888671875,3.04716873168945,0.869536280632019,1.12971091270447,0.841363251209259,18.1040992736816,0.427804470062256,86.73934847116466,0.6166666666666667,0.37,calm,70.660888671875
4,15,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_3/00005.png,57,P2,99.9954986572266,3,13,25,False,False,False,Female,False,False,True,False,90.1791839599609,8.00853824615479,0.0527393519878387,0.387244641780853,0.24802726507186898,0.0684620514512062,0.346042722463608,0.709772527217865,-81.26977054029699,0.95,0.57,calm,8.00853824615479
5,18,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_3/00006.png,77,P2,99.98889923095699,3,17,29,False,False,False,Female,False,False,True,False,37.0731620788574,45.5546722412109,0.39675179123878496,0.619808197021484,1.5341491699218797,0.9130078554153441,13.4363059997559,0.472137659788132,22.78803873062137,1.2833333333333334,1.17,calm,45.5546722412109
6,19,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_3/00007.png,97,P2,99.98889923095699,1,13,23,False,False,False,Female,False,False,True,False,3.26944446563721,86.91744995117192,5.75231838226318,0.77673327922821,0.5842934250831601,0.304995328187943,2.02590394020081,0.368867009878159,91.29765963554387,1.6166666666666667,1.37,calm,86.91744995117192
7,23,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_3/00008.png,117,P2,99.98889923095699,2,13,25,False,False,False,Female,False,False,True,False,20.2192707061768,67.41928100585939,0.34994477033615096,5.15190172195435,0.35293838381767295,0.22778920829296104,2.88615798950195,3.39272093772888,48.802081450819934,1.95,1.5699999999999998,calm,67.41928100585939
8,27,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_3/00009.png,137,P2,99.98889923095699,3,13,23,False,False,False,Female,False,False,True,False,2.96281695365906,94.57543182373051,0.30943247675895696,0.18359932303428603,0.219369024038315,0.0449666157364845,1.5663435459136998,0.13803128898143802,93.61722526699309,2.283333333333333,2.17,calm,94.57543182373051
9,29,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_3/00010.png,157,P2,99.9869003295898,2,14,26,False,False,False,Female,False,False,True,False,7.71912622451782,81.80418395996091,0.27318486571312,0.647687375545502,0.815837383270264,0.296869188547134,8.19734477996826,0.245765596628189,82.67263379693028,2.6166666666666667,2.37,calm,81.80418395996091
