,Unnamed: 0,frame_id,img_timestamp,identified_person,identification_confidence,face_id,age_low,age_high,smile,eyeglasses,sunglasses,gender,beard,mustache,eyesopen,mouthopen,confused,calm,happy,disgusted,angry,fear,sad,surprised,emotions,min_timestamp,min_upgrade,main_emotion,mainE_confidence
0,1,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_3/00001.png,0,P1,99.9962005615234,1,13,25,False,True,False,Female,False,False,True,False,4.20222425460815,76.6757507324219,0.787108421325684,2.95302939414978,0.637903034687042,0.668798089027405,12.3596277236938,1.71555304527283,84.35189121961592,0.0,0.0,calm,76.6757507324219
1,4,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_3/00002.png,0,P1,99.9962005615234,1,13,25,False,True,False,Female,False,False,True,False,4.15947675704956,76.92811584472659,0.79215282201767,2.87654614448547,0.627899765968323,0.660146236419678,12.278790473938,1.6768658161163301,84.6076555848122,0.0,0.0,calm,76.92811584472659
2,9,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_3/00003.png,17,P1,99.9962005615234,3,22,34,True,True,False,Female,False,False,True,True,1.01650810241699,1.0805652141571,83.0949935913086,12.8344373703003,0.219316482543945,0.22039322555065197,0.9445899128913879,0.5892024636268621,71.85732896625996,0.2833333333333333,0.17,happy,83.0949935913086
3,10,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_3/00004.png,37,P1,99.99829864501949,1,20,32,False,True,False,Female,False,False,True,False,6.56455659866333,77.2613143920898,1.09361326694489,3.1916871070861803,0.995498418807983,0.43233448266983004,9.48983573913574,0.971165657043457,79.62284928560253,0.6166666666666667,0.37,calm,77.2613143920898
4,13,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_3/00005.png,57,P1,99.99829864501949,1,22,34,False,True,False,Female,False,False,True,False,3.98074054718018,89.1282730102539,2.38117790222168,1.5194665193557702,0.305533736944199,0.128733843564987,1.5796102285385099,0.9764596819877621,88.74211364984512,0.95,0.57,calm,89.1282730102539
5,16,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_3/00006.png,77,P1,99.99829864501949,1,22,34,False,True,False,Female,False,False,True,False,3.33194255828857,11.1691179275513,0.488200455904007,1.11070096492767,1.05963671207428,0.47374498844146706,81.99932861328121,0.367328137159348,90.16722333431244,1.2833333333333334,1.17,sad,81.99932861328121
6,20,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_3/00007.png,97,P1,99.99829864501949,2,14,26,False,True,False,Female,False,False,True,False,37.1026268005371,52.8589553833008,1.75592160224915,2.8004701137542702,1.2353128194808998,0.242274224758148,2.07253003120422,1.93191063404083,19.70925933122638,1.6166666666666667,1.37,calm,52.8589553833008
7,24,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_3/00008.png,117,P1,99.99829864501949,3,20,32,False,True,False,Male,False,False,True,False,8.753186225891112,74.85107421875,0.8221008777618409,2.4195380210876496,0.9963837265968319,0.378389716148376,3.45901775360107,8.32030773162842,76.89777034521103,1.95,1.5699999999999998,calm,74.85107421875
8,26,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_3/00009.png,137,P1,99.997802734375,2,19,31,False,True,False,Female,False,False,True,False,12.5923662185669,55.97492980957029,2.0514278411865203,7.099266529083249,0.638131141662598,1.2251077890396103,3.17678928375244,17.2419853210449,58.16652286052699,2.283333333333333,2.17,calm,55.97492980957029
9,30,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_3/00010.png,157,P1,99.997802734375,3,17,29,False,True,False,Male,False,False,True,False,7.98759365081787,67.4451446533203,1.50581097602844,6.85944700241089,1.7703788280487098,1.56889832019806,9.42453861236572,3.4381906986236603,67.16812479496002,2.6166666666666667,2.37,calm,67.4451446533203
10,31,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_3/00011.png,177,P1,99.99829864501949,1,22,34,False,True,False,Female,False,False,True,False,1.9025895595550502,89.5069046020508,1.4217442274093601,1.5553263425827,0.545216977596283,0.154227435588837,4.38177394866943,0.532214343547821,92.7757107615471,2.95,2.57,calm,89.5069046020508
11,36,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_3/00012.png,197,P1,99.997802734375,3,20,32,False,True,False,Male,False,False,True,False,6.21755027770996,69.8910446166992,2.30904340744019,5.85719966888428,0.6332619190216059,0.6177257895469671,2.89046216011047,11.5837116241455,74.61504799127576,3.283333333333333,3.17,calm,69.8910446166992
12,38,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_3/00013.png,217,P1,99.99829864501949,2,14,26,False,True,False,Male,False,False,True,False,14.329652786254899,70.0310745239258,1.42889261245728,4.14546823501587,1.23127746582031,0.232600554823875,2.66689586639404,5.93413209915161,62.5845509916544,3.6166666666666667,3.37,calm,70.0310745239258
13,40,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_3/00014.png,237,P1,99.997802734375,1,22,34,False,True,False,Female,False,False,True,False,3.24366879463196,83.3488540649414,1.6968069076538101,2.83615779876709,1.10673785209656,0.27104118466377297,6.15367650985718,1.343052983284,87.29826053977013,3.95,3.57,calm,83.3488540649414
14,43,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_3/00015.png,257,P1,99.997802734375,1,22,34,False,True,False,Female,False,False,True,True,9.012247085571289,17.1764087677002,2.6580126285553,8.87978553771973,24.519380569457997,3.46511745452881,18.4210357666016,15.8680076599121,57.28569531440737,4.283333333333333,4.17,angry,24.519380569457997
15,48,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_3/00016.png,277,P1,99.997802734375,3,17,29,True,True,False,Female,False,False,True,False,3.5130422115325897,39.332820892334,40.099338531494105,10.8079195022583,0.826066613197327,0.658032417297363,1.73532938957214,3.0274441242218,70.04200541973111,4.616666666666666,4.37,happy,40.099338531494105
16,49,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_3/00017.png,297,P1,99.99829864501949,1,22,34,False,True,False,Male,False,False,True,False,11.733246803283699,70.7453155517578,3.69639682769775,5.05994749069214,1.18507349491119,0.544420480728149,2.87213230133057,4.16346216201782,65.32476556301114,4.95,4.57,calm,70.7453155517578
17,53,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_3/00018.png,317,P1,99.9962005615234,2,22,34,True,True,False,Female,False,False,True,True,0.7875129580497741,0.262315005064011,92.02896118164058,5.17436218261719,0.512344598770142,0.304798096418381,0.256322592496872,0.673386812210083,87.46665695309635,5.283333333333333,5.17,happy,92.02896118164058
18,56,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_3/00019.png,337,P1,99.9962005615234,2,22,34,False,True,False,Male,False,False,True,False,16.428106307983402,75.43565368652341,0.551110029220581,1.29865837097168,1.7541570663452102,0.16291753947734802,2.23761820793152,2.13178730010986,64.22064407169815,5.616666666666666,5.37,calm,75.43565368652341
19,59,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_3/00020.png,357,P1,99.997802734375,2,21,33,True,True,False,Female,False,False,True,True,0.0586013309657574,0.0293023586273193,99.5752105712891,0.11509767174720802,0.0401872284710407,0.0258584003895521,0.0182815603911877,0.137463316321373,99.60088763199751,5.95,5.57,happy,99.5752105712891
20,62,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_3/00021.png,377,P1,99.99829864501949,2,22,34,False,True,False,Female,False,False,True,False,11.002142906189,47.043949127197294,18.1816177368164,4.7460789680481,1.23894453048706,1.4600700139999399,2.7790985107421897,13.5481042861938,65.5834223031997,6.283333333333333,6.17,calm,47.043949127197294
21,65,//Users/rentaluser/desktop/thesisVideo/videos/editedvideo/videoFaceAnalysis_temp_round2_3/00022.png,397,P1,99.99829864501949,2,21,33,False,True,False,Male,False,False,True,False,10.116032600402802,80.18812561035159,2.02477240562439,1.87073588371277,0.7540753483772281,0.5919435024261469,2.06061720848083,2.3936994075775098,74.84257799386984,6.616666666666666,6.37,calm,80.18812561035159
