,Unnamed: 0,frame_id,img_timestamp,identified_person,identification_confidence,face_id,age_low,age_high,smile,eyeglasses,sunglasses,gender,beard,mustache,eyesopen,mouthopen,confused,calm,happy,disgusted,angry,fear,sad,surprised,emotions,cum_emotions,min_timestamp,min_upgrade,main_emotion,mainE_confidence
0,6,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound2/00003.png,17,P1,99.997802734375,2,22,34,True,True,False,Female,False,False,True,True,0.16122795641422302,0.0304883718490601,97.72943115234379,1.14201557636261,0.132019430398941,0.10218628495931599,0.0458936244249344,0.656728744506836,97.18913150578742,97.18913150578742,0.2833333333333333,0.17,happy,97.72943115234379
1,10,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound2/00004.png,37,P1,99.997802734375,3,21,33,False,True,False,Female,False,False,True,False,15.5482873916626,39.7186889648438,20.0825786590576,15.0398197174072,1.09063827991486,1.0942606925964398,3.3198792934417702,4.1058521270752,36.635269522666995,133.82440102845442,0.6166666666666667,0.37,calm,39.7186889648438
2,13,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound2/00005.png,57,P1,99.997802734375,3,22,34,True,True,False,Female,False,False,True,True,3.8434021472930895,4.52151203155518,9.35021591186523,29.1872749328613,0.820584952831268,0.830149352550507,0.603263437747955,50.843597412109396,32.27834731340413,166.10274834185856,0.95,0.57,surprised,50.843597412109396
3,16,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound2/00006.png,77,P1,99.997802734375,3,16,28,False,True,False,Female,False,False,True,False,7.51324796676636,81.47303771972659,1.93360316753387,2.5915105342865,0.9012370109558109,0.345451295375824,3.09627962112427,2.14564228057861,79.09959000349048,245.20233834534903,1.2833333333333334,1.17,calm,81.47303771972659
4,17,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound2/00007.png,97,P1,99.9962005615234,1,22,34,False,True,False,Male,False,False,True,False,8.14384651184082,45.3229103088379,7.489675998687741,14.3691673278809,1.2580554485321003,1.25034630298615,18.0621585845947,4.1038351058960005,52.47327530384057,297.6756136491896,1.6166666666666667,1.37,calm,45.3229103088379
5,22,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound2/00008.png,117,P1,99.997802734375,3,18,30,False,True,False,Female,False,False,True,False,3.7968783378601096,75.86070251464841,13.8759765625,3.1117985248565696,0.40070092678070096,0.23638853430748,1.15322434902191,1.5643203258514398,85.70985928177831,383.3854729309679,1.95,1.5699999999999998,calm,75.86070251464841
6,24,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound2/00009.png,137,P1,99.997802734375,2,16,28,False,True,False,Male,False,False,True,False,5.17166948318481,87.66905975341801,2.0776998996734597,1.84023940563202,0.43952429294586204,0.188078492879868,1.5998455286026,1.0138858556747399,85.60002794861798,468.9855008795859,2.283333333333333,2.17,calm,87.66905975341801
7,26,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound2/00010.png,157,P1,99.9962005615234,1,21,33,True,True,False,Female,False,False,True,True,5.343288898468019,1.88474929332733,55.63044738769529,14.6376075744629,6.37170076370239,3.20947360992432,1.6857942342758199,11.236933708190902,53.61925530433649,522.6047561839224,2.6166666666666667,2.37,happy,55.63044738769529
8,29,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound2/00011.png,177,P1,99.9962005615234,1,22,34,True,True,False,Female,False,False,True,True,0.9973474740982059,0.17807351052761103,94.7795944213867,2.00375866889954,0.17091208696365398,0.655529856681824,0.23306281864643105,0.981723070144653,92.68672990798949,615.2914860919119,2.95,2.57,happy,94.7795944213867
9,33,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound2/00012.png,197,P1,99.997802734375,2,22,34,True,True,False,Female,False,False,True,True,0.065394289791584,0.007325945422053341,98.89307403564449,0.6972264647483829,0.0844231992959976,0.0499900728464127,0.0217817705124617,0.18079832196235698,98.37479244545098,713.6662785373629,3.283333333333333,3.17,happy,98.89307403564449
10,36,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound2/00013.png,217,P1,99.997802734375,2,22,34,True,True,False,Female,False,False,True,True,0.0851882994174957,0.004663681611418721,99.4041595458984,0.314125448465347,0.0617101676762104,0.0318911597132683,0.0189778301864862,0.0792819485068321,99.13758826628323,812.8038668036462,3.6166666666666667,3.37,happy,99.4041595458984
11,38,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound2/00014.png,237,P1,99.99829864501949,1,22,34,False,True,False,Female,False,False,True,True,6.4342789649963406,65.04257202148439,3.42275500297546,4.41564226150513,0.92118501663208,0.572737157344818,1.91643738746643,17.274391174316403,77.15468221902847,889.9585490226747,3.95,3.57,calm,65.04257202148439
12,41,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound2/00015.png,257,P1,99.997802734375,1,22,34,True,True,False,Female,False,False,True,True,0.080422431230545,0.0075142458081245405,99.5979156494141,0.134898170828819,0.0334222465753555,0.0402177348732948,0.0199864190071821,0.0856228619813919,99.4889230858535,989.4474721085281,4.283333333333333,4.17,happy,99.5979156494141
13,44,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound2/00016.png,277,P1,99.99829864501949,1,22,34,False,True,False,Male,False,False,True,False,7.38589859008789,74.7626571655273,2.57439255714417,5.79152345657349,1.52564632892609,0.360943049192429,4.47526359558105,3.1236743927002,72.923268944025,1062.370741052553,4.616666666666666,4.37,calm,74.7626571655273
14,47,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound2/00017.png,297,P1,99.997802734375,1,18,30,False,True,False,Female,False,False,True,False,5.27152967453003,27.0780391693115,0.8771280646324159,3.85976815223694,2.63428211212158,0.491906225681305,59.240596771240206,0.546748280525208,80.75359034538263,1143.1243313979357,4.95,4.57,sad,59.240596771240206
15,50,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound2/00018.png,317,P1,99.997802734375,1,22,34,False,True,False,Female,False,False,True,True,12.282901763916,42.9811210632324,10.9286670684814,14.7275476455688,2.9211058616638197,1.60353422164917,9.1632080078125,5.3919205665588406,42.77203893661498,1185.8963703345507,5.283333333333333,5.17,calm,42.9811210632324
16,53,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound2/00019.png,337,P1,99.99829864501949,1,20,32,False,True,False,Female,False,False,True,False,1.76669692993164,92.8828277587891,1.0022474527359,0.7257273197174069,0.355277270078659,0.18157894909381897,1.56754779815674,1.5181072950363201,94.65200437605385,1280.5483747106045,5.616666666666666,5.37,calm,92.8828277587891
17,56,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound2/00020.png,357,P1,99.997802734375,1,22,34,False,True,False,Female,False,False,True,False,3.4672093391418497,74.5215148925781,8.08190441131592,3.03779006004333,1.3317583799362198,0.37244659662246704,7.730402946472171,1.4569725990295401,86.2451072335243,1366.7934819441289,5.95,5.57,calm,74.5215148925781
18,59,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound2/00021.png,377,P1,99.997802734375,1,21,33,False,True,False,Female,False,False,True,False,12.5469255447388,66.08994293212889,1.49445056915283,3.96192073822021,2.3069124221801802,0.525165617465973,11.9976711273193,1.07701051235199,65.93197566270823,1432.7254576068372,6.283333333333333,6.17,calm,66.08994293212889
19,62,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound2/00022.png,397,P1,99.99829864501949,1,17,29,False,True,False,Female,False,False,True,False,10.0859861373901,52.994167327880895,1.00872671604156,1.9412616491317702,2.3785066604614302,0.429537743330002,30.3873100280762,0.7745026350021359,75.08642783761036,1507.8118854444474,6.616666666666666,6.37,calm,52.994167327880895
20,65,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound2/00023.png,417,P1,99.9962005615234,1,14,26,False,True,False,Female,False,False,True,False,15.0334415435791,38.866603851318395,3.2154724597930895,4.11600780487061,2.4493131637573198,1.0020889043808,33.828010559081996,1.48905050754547,59.696912288665764,1567.5087977331132,6.95,6.57,calm,38.866603851318395
21,68,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound2/00024.png,437,P1,99.99829864501949,1,21,33,False,True,False,Female,False,False,True,False,24.820877075195302,38.8383827209473,2.25763869285583,4.61955118179321,1.17580318450928,0.6894491910934449,26.4806785583496,1.1176198720932,39.74024558067326,1607.2490433137864,7.283333333333333,7.17,calm,38.8383827209473
22,71,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound2/00025.png,457,P1,99.99829864501949,1,21,33,False,True,False,Male,False,False,True,False,20.5100116729736,73.75433349609379,0.425179153680801,0.666265308856964,0.36006247997283897,0.09391219913959499,3.8298454284668,0.360381811857224,57.45961318910129,1664.7086565028876,7.616666666666666,7.37,calm,73.75433349609379
23,75,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound2/00026.png,477,P1,99.9962005615234,2,12,22,False,True,False,Male,False,False,True,False,8.66130924224854,39.0538673400879,4.92065572738647,8.856523513793949,3.13205671310425,1.58411240577698,30.455493927002,3.33598041534424,61.79610896110538,1726.504765463993,7.95,7.57,calm,39.0538673400879
24,78,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound2/00027.png,497,P1,99.997802734375,2,20,32,False,True,False,Female,False,False,True,False,4.81876802444458,87.039306640625,1.01234245300293,1.84502696990967,0.659374475479126,0.234406232833862,3.5109679698944105,0.8798109292984009,86.20360124111176,1812.7083667051047,8.283333333333333,8.17,calm,87.039306640625
25,81,//Users/rentaluser/desktop/thesisVideo/videos/FullVideo/videoFaceAnalysis_temp_pilotTeam1VeroRound2/00028.png,517,P1,99.99829864501949,2,20,32,False,True,False,Female,False,False,True,False,5.598010063171389,83.2390899658203,2.43305778503418,2.9379031658172594,0.9437478184700009,0.254282593727112,3.14462184906006,1.4492952823638898,82.41961687803267,1895.1279835831374,8.616666666666667,8.37,calm,83.2390899658203
