"","frame_id","img_timestamp","identified_person","identification_confidence","face_id","age_low","age_high","smile","eyeglasses","sunglasses","gender","beard","mustache","eyesopen","mouthopen","confused","calm","happy","disgusted","angry","fear","sad","surprised"
"1","/Users/coolseyun/desktop/thesisvideo/videos/fullVideo/videoFaceAnalysis_temp_pilotTeam2VeroRound2/00001.png",0,"p3",99.9991989135742,1,21,33,TRUE,TRUE,FALSE,"Female",FALSE,FALSE,TRUE,TRUE,1.69490432739258,1.50178384780884,92.4564743041992,1.20935785770416,0.634405851364136,0.558917760848999,0.233840480446815,1.71031808853149
"2","/Users/coolseyun/desktop/thesisvideo/videos/fullVideo/videoFaceAnalysis_temp_pilotTeam2VeroRound2/00001.png",0,"p2",99.997200012207,2,21,33,FALSE,FALSE,FALSE,"Female",FALSE,FALSE,TRUE,FALSE,3.73278450965881,77.6831817626953,2.28740644454956,3.15492558479309,7.03388023376465,1.16387546062469,3.40304756164551,1.54090249538422
"3","/Users/coolseyun/desktop/thesisvideo/videos/fullVideo/videoFaceAnalysis_temp_pilotTeam2VeroRound2/00001.png",0,"p1",99.9973983764648,3,25,39,FALSE,TRUE,FALSE,"Female",FALSE,FALSE,TRUE,FALSE,2.62939786911011,61.1834526062012,5.33597373962402,1.77567064762115,0.905382990837097,4.42748975753784,22.8300762176514,0.912557065486908
"4","/Users/coolseyun/desktop/thesisvideo/videos/fullVideo/videoFaceAnalysis_temp_pilotTeam2VeroRound2/00002.png",0,"p3",99.9991989135742,1,21,33,TRUE,TRUE,FALSE,"Female",FALSE,FALSE,TRUE,TRUE,1.72626936435699,1.45896482467651,92.3526458740234,1.24308907985687,0.635322093963623,0.555969834327698,0.225493654608727,1.80224978923798
"5","/Users/coolseyun/desktop/thesisvideo/videos/fullVideo/videoFaceAnalysis_temp_pilotTeam2VeroRound2/00002.png",0,"p2",99.997200012207,2,19,31,FALSE,FALSE,FALSE,"Female",FALSE,FALSE,TRUE,FALSE,7.45378303527832,69.7973937988281,3.15964078903198,5.09049558639526,7.36373138427734,2.36710143089294,2.55678415298462,2.2110767364502
"6","/Users/coolseyun/desktop/thesisvideo/videos/fullVideo/videoFaceAnalysis_temp_pilotTeam2VeroRound2/00002.png",0,"p1",99.9973983764648,3,21,33,FALSE,TRUE,FALSE,"Female",FALSE,FALSE,TRUE,FALSE,2.86804175376892,52.239818572998,4.48644065856934,1.70773839950562,0.798427700996399,4.0283260345459,33.1386108398438,0.732594609260559
"7","/Users/coolseyun/desktop/thesisvideo/videos/fullVideo/videoFaceAnalysis_temp_pilotTeam2VeroRound2/00003.png",17,"p3",99.9991989135742,1,22,34,FALSE,TRUE,FALSE,"Female",FALSE,FALSE,TRUE,TRUE,10.5355806350708,33.0943870544434,23.4547843933105,8.2810697555542,4.20447587966919,2.03347682952881,1.60934686660767,16.7868747711182
"8","/Users/coolseyun/desktop/thesisvideo/videos/fullVideo/videoFaceAnalysis_temp_pilotTeam2VeroRound2/00003.png",17,"p2",99.9934005737305,2,22,34,FALSE,FALSE,FALSE,"Female",FALSE,FALSE,TRUE,FALSE,3.52502846717834,40.1749954223633,39.1767578125,8.4716682434082,2.33096933364868,1.59362697601318,1.84965062141418,2.87730765342712
"9","/Users/coolseyun/desktop/thesisvideo/videos/fullVideo/videoFaceAnalysis_temp_pilotTeam2VeroRound2/00003.png",17,"p1",99.9996032714844,3,12,22,FALSE,TRUE,FALSE,"Female",FALSE,FALSE,TRUE,FALSE,0.644284188747406,94.3650207519531,2.76339101791382,0.124330632388592,0.141955643892288,0.257360130548477,1.13338124752045,0.570281505584717
"10","/Users/coolseyun/desktop/thesisvideo/videos/fullVideo/videoFaceAnalysis_temp_pilotTeam2VeroRound2/00004.png",37,"p3",99.9991989135742,1,15,27,FALSE,TRUE,FALSE,"Female",FALSE,FALSE,TRUE,FALSE,9.97834396362305,63.9113121032715,2.25829195976257,2.46482276916504,1.17573654651642,0.639298439025879,1.11169195175171,18.4604892730713
"11","/Users/coolseyun/desktop/thesisvideo/videos/fullVideo/videoFaceAnalysis_temp_pilotTeam2VeroRound2/00004.png",37,"p2",99.997200012207,2,22,34,FALSE,FALSE,FALSE,"Female",FALSE,FALSE,FALSE,FALSE,1.54890239238739,87.3768081665039,3.4486722946167,2.48688125610352,1.24062180519104,0.621885597705841,1.82634663581848,1.44988059997559
